"","date","site","n","species","eq_weights","site_weights"
"1",2010-09-01,"smith bridge",491.888068880689,"bkt",0.027027027027027,0.0142857142857143
"2",2010-09-14,"stephan",436.544902386117,"bkt",0.027027027027027,0.0142857142857143
"3",2010-09-28,"twin bridge",351.595417637409,"bkt",0.027027027027027,0.02
"4",2011-09-06,"dam 4",123.670405209841,"bkt",0.027027027027027,0.0111111111111111
"5",2012-08-07,"ole dam",28.1024228633657,"bkt",0.027027027027027,0.1
"6",2012-08-27,"hulbert",473.29615387296,"bkt",0.027027027027027,0.1
"7",2012-09-04,"dam 4",70.5906295224313,"bkt",0.027027027027027,0.0111111111111111
"8",2012-09-11,"williams",42.901835378693,"bkt",0.027027027027027,0.1
"9",2013-09-03,"dam 4",77.7044138929088,"bkt",0.027027027027027,0.0111111111111111
"10",2014-08-25,"smith bridge",472.539975399754,"bkt",0.027027027027027,0.0142857142857143
"11",2014-09-03,"stephan",318.117136659436,"bkt",0.027027027027027,0.0142857142857143
"12",2015-08-18,"daisy bend",421.432392273403,"bkt",0.027027027027027,0.05
"13",2015-09-02,"smith bridge",530.584255842558,"bkt",0.027027027027027,0.0142857142857143
"14",2015-09-10,"stephan",345.834273318872,"bkt",0.027027027027027,0.0142857142857143
"15",2016-08-22,"twin bridge",164.538248390521,"bkt",0.027027027027027,0.02
"16",2016-08-24,"eamans",539.256666666667,"bkt",0.027027027027027,0.0333333333333333
"17",2016-08-29,"smith bridge",747.878228782288,"bkt",0.027027027027027,0.0142857142857143
"18",2016-09-07,"stephan",352.133622559653,"bkt",0.027027027027027,0.0142857142857143
"19",2017-07-25,"pollack",117.450666666667,"bkt",0.027027027027027,0.1
"20",2017-08-14,"twin bridge",128.507975020334,"bkt",0.027027027027027,0.02
"21",2017-08-17,"eamans",723.983333333333,"bkt",0.027027027027027,0.0333333333333333
"22",2017-09-06,"dam 4",937.377894356006,"bkt",0.027027027027027,0.0111111111111111
"23",2018-08-21,"twin bridge",109.592081494981,"bkt",0.027027027027027,0.02
"24",2018-08-22,"eamans",908.306666666667,"bkt",0.027027027027027,0.0333333333333333
"25",2018-09-06,"dam 4",650.911269898697,"bkt",0.027027027027027,0.0111111111111111
"26",2019-09-05,"dam 4",622.182525325615,"bkt",0.027027027027027,0.0111111111111111
"27",2020-08-25,"smith bridge",362.40467404674,"bkt",0.027027027027027,0.0142857142857143
"28",2020-09-01,"stephan",243.154880694143,"bkt",0.027027027027027,0.0142857142857143
"29",2020-09-24,"daisy bend",287.667161983661,"bkt",0.027027027027027,0.05
"30",2021-08-23,"smith bridge",513.468634686347,"bkt",0.027027027027027,0.0142857142857143
"31",2021-08-31,"stephan",319.377006507592,"bkt",0.027027027027027,0.0142857142857143
"32",2021-10-06,"twin bridge",273.229573057252,"bkt",0.027027027027027,0.02
"33",2021-10-07,"dam 4",248.982452966715,"bkt",0.027027027027027,0.0111111111111111
"34",2022-08-22,"smith bridge",352.730627306273,"bkt",0.027027027027027,0.0142857142857143
"35",2022-09-07,"stephan",332.605639913232,"bkt",0.027027027027027,0.0142857142857143
"36",2023-09-12,"dam 4",858.579052098408,"bkt",0.027027027027027,0.0111111111111111
"37",2024-10-05,"dam 4",826.052640979468,"bkt",0.027027027027027,0.0111111111111111
